,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,Timestamp,Title,Creator,handle,URL,Description,Type,Category,Tag,Img,Example,Unnamed: 12
31,2024-04-16T12:02:37Z,UCepJ2MwkHah89uXokQVgUrA,Palestinians Tear Down Parts Of West Bank ‘Apartheid Wall’ #Shorts #Palestine #WestBank #Apartheid,"During Iran's retaliatory strikes against Israel on 13 April, Palestinians tore down parts of a 708-kilometre-long, 9-metre-high ...","{'default': {'url': 'https://i.ytimg.com/vi/A_KC_XaWimY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A_KC_XaWimY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A_KC_XaWimY/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-04-16T12:02:37Z,A_KC_XaWimY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/A_KC_XaWimY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,African Stream,African Stream,,,"African Stream is a pan-African digital media organization based exclusively on social-media platforms, focused on giving a voice to all Africans both at home and abroad through cutting-edge, African-centered content.",,Current Events,,,,
22,2024-04-16T06:57:17Z,UCJa58Tf70HC5q2oQDNBrJ2g,Nature is patient and it will repay you. #obehipodcast #nature,,"{'default': {'url': 'https://i.ytimg.com/vi/XLWAyvZoLh8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XLWAyvZoLh8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XLWAyvZoLh8/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-04-16T06:57:17Z,XLWAyvZoLh8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XLWAyvZoLh8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:19:18,African Docs,African Docs,,https://www.youtube.com/@AfricanDocs,"Welcome to African Docs. In this YouTube channel, we share everything educational about Africa and Africans, both home and abroad. If you are interested in learning about Africa, you will most certainly like the content we share here, especially our podcast ""African Leadership Podcast"" which focuses on people-oriented leadership.  Our objective is to promote “a people-oriented leadership” and to inspire the leaders of tomorrow, both in Africa and among different African communities in the diaspora. Check out also our Business and self-improvement YouTube channel ""Aclasses.org""",Channel,History,History; Education; Culture,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
17,2024-04-16T01:20:38Z,UCABZ7Z6SBTp4IsARDceOq7w,"Charlamagne Tha God Calls Out &#39;Breakfast Club Bosses&#39; Live, Dame Dash Warned Him - CH News Show",https://hypersclub.com/ - The Breakfast Club would address a rumor circulating this morning that their syndicated show would lose ...,"{'default': {'url': 'https://i.ytimg.com/vi/KvSia0d9a9c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KvSia0d9a9c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KvSia0d9a9c/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-04-16T01:20:38Z,KvSia0d9a9c,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KvSia0d9a9c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/7/2023 16:08:50,Comedy Hype,Comedy Hype,,https://www.youtube.com/@ComedyHype,HYPE+,Channel,Entertainment,Entertainment,,https://youtu.be/-TEGX1r0k0A,
21,2024-04-16T00:32:32Z,UC2rmgVaijnf92nixlIZWGmg,"Nigeria Is One Of The Best Countries In The World, We Are Just Unpatriotic @SelahMeditate",Cash App: $amirdynast Patreon: https://www.patreon.com/searchforuhuru Instagram: Searchforuhuru instagram: lovedanfo ...,"{'default': {'url': 'https://i.ytimg.com/vi/XlOElOvp0mk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XlOElOvp0mk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XlOElOvp0mk/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-04-16T00:32:32Z,XlOElOvp0mk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XlOElOvp0mk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:15:47,Searchforuhuru,Searchforuhuru,,https://www.youtube.com/@Searchforuhuru,"The Vision is to build a bridge between Africa & her children of the diaspora. Oluse Afara ,which translates to bridge maker in Yoruba, is a title which was given to Dynast Amir which encompasses the work that he is doing. The title of Oluse Afara isn’t only limited to Dynast Amir, but to all of those whom are on a similar path. Building this bridge is the key to a much deeper mission. Dynast wants the diaspora to also invest in the people, the culture, help assist in building the infrastructure, and bring business development to Africa. ",Channel,Travel,Culture; Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
36,2024-04-15T21:00:31Z,UCv8G-xZ_BBGufjbN6jbvLMQ,Spitting Game At A Comedy Show PT.2 - Comedian Lewis Belt - Chocolate Sundaes Standup Comedy,How do you spit game at a girl who's out with her dad? Watch @LewisBelt play matchmaker in our latest crowd work clip! Follow ...,"{'default': {'url': 'https://i.ytimg.com/vi/iytCk8Mlfdo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/iytCk8Mlfdo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/iytCk8Mlfdo/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-04-15T21:00:31Z,iytCk8Mlfdo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/iytCk8Mlfdo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,,Chocolate Sundaes,,,,,Entertainment,,,,
32,2024-04-15T18:19:57Z,UC4m46pCBkMEyy8gk26WKqbA,VIP Roast  in Chicago | The 85 South Show,85southshow Watch the real now on https://www.channeleightyfive.com/,"{'default': {'url': 'https://i.ytimg.com/vi/kqdY0wFiG6g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kqdY0wFiG6g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kqdY0wFiG6g/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-04-15T18:19:57Z,kqdY0wFiG6g,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kqdY0wFiG6g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",,The 85 South Comedy Show,The 85 South Comedy Show,,,,,Entertainment,,,,
19,2024-04-15T17:22:35Z,UCG7uFJVZsxQRwDssom9Pavw,"South Africa President on Iran, Israel Tensions, the World Knows Whos at Fault","President Cyril Ramaphosa Calls for Peace amid Iran, Israel, US tensions, Adds that the World Knows who is at Fault. South Africa ...","{'default': {'url': 'https://i.ytimg.com/vi/0G2Ge9rVJOI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0G2Ge9rVJOI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0G2Ge9rVJOI/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-04-15T17:22:35Z,0G2Ge9rVJOI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0G2Ge9rVJOI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:12:26,2nacheki ,2nacheki ,,https://www.youtube.com/@2nacheki,"2nacheki pronounced (tunacheki) means 'We Are Watching ' in Swahili slang. Our goal is to educate & inform you about everything in Africa while showing the World that Africa is Watching. ~~-~~-~- Our African videos covers;  Africa Lists, Africa News,  Africa Speeches , Africa Entertainment , Africa History  Africa Documentaries, Panafricanism , African Culture and more",Channel,Current Events,News; Discussion,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
7,2024-04-15T12:00:09Z,UCDsOKnUQnQek7-G7Xc5kB8Q,How To Effectively Secure Government Contracts - Jason White #455,https://courses.thefederalcode.com/courses/crack-the-code?ref=e3df09 ...,"{'default': {'url': 'https://i.ytimg.com/vi/DQCJ7Ws8j_4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DQCJ7Ws8j_4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DQCJ7Ws8j_4/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-04-15T12:00:09Z,DQCJ7Ws8j_4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DQCJ7Ws8j_4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/7/2023 15:50:16,Social Proof,Social Proof,,https://www.youtube.com/@RealSocialProof,"Welcome to the home of the #1 Entrepreneurship podcast for entrepreneurs! The ""Social Proof Podcast"" host's conversations with some of the greatest minds in the world. You will learn from people who have made anywhere 6-Figures with clothing brands and photography companies to true outliers who've built Billion Dollar Empires!  Our whole network is dedicated to teaching beginning entrepreneurs how to make the transition from the dead end 9-5 to becoming a fully free full-time entrepreneur.  This channel is perfect for you if... 👉🏽  You want to learn how to cover all of your living expenses with a simple side hustle 👉🏽  You want to scale your current business you 6 Figures to 7 Figures and beyond 👉🏽  You want to be introduced to some of the best minds in the world 👉🏽  You want to become the best version of yourself  Feel free to like, comment, subscribe and engage with us.",Channel,Productivity,Business,,https://youtu.be/j953EyHhyf4,
23,2024-04-14T23:42:08Z,UCLjzzg-cFWpEEjnWCOpXp3Q,Black is Back Coalition Electoral Campaign School,"Welcome to the 8th annual Electoral Campaign School hosted by the Black is Back Coalition for Social Justice, Peace and ...","{'default': {'url': 'https://i.ytimg.com/vi/A2lcoy1QCvQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A2lcoy1QCvQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A2lcoy1QCvQ/hqdefault.jpg', 'width': 480, 'height': 360}}",The Burning Spear TV,none,2024-04-14T23:42:08Z,A2lcoy1QCvQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/A2lcoy1QCvQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:20:58,The Burning Spear,The Burning Spear,,https://www.youtube.com/@theburningspear,The online voice of the International African Revolution,Channel,Current Events,News; Discussion; Strategy; Implementation; Revolution,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
20,2024-04-14T17:45:06Z,UCi2uaWdy6OTf4Ty7DVC_7lw,Here is a full Vlog on the Unfortunate Situation  - NAIROBI KENYA ( UNEDITED) !!!,"Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video. Here is a full Vlog on the ...","{'default': {'url': 'https://i.ytimg.com/vi/FWJ56JEiQNI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FWJ56JEiQNI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FWJ56JEiQNI/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-04-14T17:45:06Z,FWJ56JEiQNI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FWJ56JEiQNI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",6/5/2023 17:12:58,iam_marwa,iam_marwa,,https://www.youtube.com/@iammarwa,iam_marwa,Channel,Travel,Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
