,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,Timestamp,Title,Creator,handle,URL,Description,Type,Category,Tag,Img,Example,Unnamed: 12
17,2024-02-28T00:30:20Z,UCABZ7Z6SBTp4IsARDceOq7w,What Really Happened To Eddie Murphy&#39;s Dad? - Story You Should Know,https://www.hypeplustv.com/ - Did you know when Eddie Murphy was just 8 years-old he would lose his biological father?,"{'default': {'url': 'https://i.ytimg.com/vi/oqZYYMyE3Tw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/oqZYYMyE3Tw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/oqZYYMyE3Tw/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-02-28T00:30:20Z,oqZYYMyE3Tw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/oqZYYMyE3Tw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:08:50,Comedy Hype,Comedy Hype,,https://www.youtube.com/@ComedyHype,HYPE+,Channel,Entertainment,Entertainment,,https://youtu.be/-TEGX1r0k0A,
22,2024-02-27T23:00:25Z,UCJa58Tf70HC5q2oQDNBrJ2g,WHO ARE OUR ANCESTORS and what does it even mean? #africandocs #africandiaspora  #ancestors,WHO ARE OUR ANCESTORS and what does it even mean? #AfricanDocs uploads multiple videos every week. Subscribe to be ...,"{'default': {'url': 'https://i.ytimg.com/vi/LkFGX95DMnc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LkFGX95DMnc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LkFGX95DMnc/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-02-27T23:00:25Z,LkFGX95DMnc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LkFGX95DMnc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:19:18,African Docs,African Docs,,https://www.youtube.com/@AfricanDocs,"Welcome to African Docs. In this YouTube channel, we share everything educational about Africa and Africans, both home and abroad. If you are interested in learning about Africa, you will most certainly like the content we share here, especially our podcast ""African Leadership Podcast"" which focuses on people-oriented leadership.  Our objective is to promote “a people-oriented leadership” and to inspire the leaders of tomorrow, both in Africa and among different African communities in the diaspora. Check out also our Business and self-improvement YouTube channel ""Aclasses.org""",Channel,History,History; Education; Culture,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
32,2024-02-27T20:35:22Z,UC4m46pCBkMEyy8gk26WKqbA,😂😂😂 Blake The Great At The Flea Market |  Trap News!,Trap News is back on Channel 85! https://www.channeleightyfive.com/comedy/videos/trap-news-season-two-premiere.,"{'default': {'url': 'https://i.ytimg.com/vi/YApBgVdLAbs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YApBgVdLAbs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YApBgVdLAbs/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-02-27T20:35:22Z,YApBgVdLAbs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YApBgVdLAbs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,The 85 South Comedy Show,The 85 South Comedy Show,,,,,Entertainment,,,,
20,2024-02-27T19:47:19Z,UCi2uaWdy6OTf4Ty7DVC_7lw,a Special Thank You  from iam_marwa,"Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video. PayPal ...","{'default': {'url': 'https://i.ytimg.com/vi/Rss8y93CByk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Rss8y93CByk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Rss8y93CByk/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-02-27T19:47:19Z,Rss8y93CByk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Rss8y93CByk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:12:58,iam_marwa,iam_marwa,,https://www.youtube.com/@iammarwa,iam_marwa,Channel,Travel,Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
11,2024-02-27T19:15:00Z,UC-4h1XQ47sf0vbFwJvuBhEA,Tanzania&#39;s 2.9 Billion Julius Nyerere Dam Set to Mitigate East Africa&#39;s Energy Woes,Tanzania's 2.9 Billion Julius Nyerere Dam Set to Mitigate East Africa's Energy Woes - Tanzania is about to light up East Africa with ...,"{'default': {'url': 'https://i.ytimg.com/vi/KluCvEitL90/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KluCvEitL90/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KluCvEitL90/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-02-27T19:15:00Z,KluCvEitL90,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KluCvEitL90"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:24:27,The New Africa Channel,The New Africa Channel,,https://www.youtube.com/@TheNewAfricaChannel,"The New Africa Channel is Africa’s most comprehensive and number video channel for mega construction projects, development, technology, environmental, business opportunities, trending issues, and more.  Our work aims to connect Africans in Africa and in the Diaspora with the rest of the world. No matter where we come from, we're all connected to Africa. At The New Africa Channel, our viewing audience guides the direction of our platform, and we always want to present quality content that meets our viewer's needs.",Channel,Current Events,History; News; Implementation; Strategy,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
36,2024-02-27T18:23:16Z,UCv8G-xZ_BBGufjbN6jbvLMQ,My Dad is an Evil African Man - Comedian Trixx - Chocolate Sundaes Comedy #shorts,,"{'default': {'url': 'https://i.ytimg.com/vi/dwNRHsb-vRo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dwNRHsb-vRo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dwNRHsb-vRo/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-02-27T18:23:16Z,dwNRHsb-vRo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dwNRHsb-vRo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,,Chocolate Sundaes,,,,,Entertainment,,,,
25,2024-02-27T17:49:45Z,UClwrpH_Np9zk8uMwnMwu8Nw,Surprising A Jamaican Girl With A Flight Ticket To Kenya!,The Image of AFRICA has been DISTORTED around the WORLD & We are CHANGING the NARRATIVE via YOUTUBE videos ...,"{'default': {'url': 'https://i.ytimg.com/vi/zY7l2gTv02Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zY7l2gTv02Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zY7l2gTv02Q/hqdefault.jpg', 'width': 480, 'height': 360}}",WODE MAYA,none,2024-02-27T17:49:45Z,zY7l2gTv02Q,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zY7l2gTv02Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:55:53,WODE MAYA,WODE MAYA,,https://www.youtube.com/@WODEMAYA,"Kobina Ackon known widely by the brand name, Wode Maya is a Ghanaian freelance Vlogger / YouTuber. With a degree in Aeronautical Engineering from Shenyang Aerospace University, China, Wode Maya has, over the years been able to create a niche for himself in the area of Social Media Content creation and in a space of a few years; his channel grew in popularity, attracting over a Million subscribers.",Channel,Travel,Travel,,https://youtu.be/iAgXTLYExE0,
26,2024-02-27T17:17:27Z,UCW5NNtTSY5z5mENZ8dt-RCw,I’m Working Mommy,,"{'default': {'url': 'https://i.ytimg.com/vi/dLmfkXx55Iw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dLmfkXx55Iw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dLmfkXx55Iw/hqdefault.jpg', 'width': 480, 'height': 360}}",ACE ,none,2024-02-27T17:17:27Z,dLmfkXx55Iw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dLmfkXx55Iw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:04:19,ACE,ACE,,https://www.youtube.com/@Acelive,"Travel The World With Ace Wholesome Travel Content - I'm a Budget Traveler that wants to meet ordinary people who do amazing things. My biggest hope is my videos encourage people to travel more. I do weekly uploads so check my channel out.  My Favorite movie quote: The Count of Monte Cristo ""God will give me Justice"":  A story about a man who was forgotten but gets a second chance at life.",Channel,Travel,Travel,,https://youtu.be/bZSdXhAJFQY,
10,2024-02-27T12:25:42Z,UC1ettU5YSf_nIOJWffCKGQw,"Arab League shocks the west, humiliates Israel at ICJ","The League of Arab States Lawyer Dr. Ralphe Wilde, gives a powerful presentation at the ICJ hearing that has shocked the west ...","{'default': {'url': 'https://i.ytimg.com/vi/SRd57tcwWIE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SRd57tcwWIE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SRd57tcwWIE/hqdefault.jpg', 'width': 480, 'height': 360}}",LuiSpot,none,2024-02-27T12:25:42Z,SRd57tcwWIE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SRd57tcwWIE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:22:07,Luisp0t,Luisp0t,,https://www.youtube.com/@Luisp0t,"Hey this is Lui. I'm an industrial chemist creating visual content, this is my spot - LuiSpot. Careful, English is not my 1st language, so I might not be able to please your ego. Mom says i'm lazy, but lazy doesn’t always mean bad. ",Channel,Current Events,News; History; Discussion;,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
3,2024-02-26T20:09:37Z,UC12lU5ymIvSpgl8KntDQUQA,The Most Underrated African King,Patreon: https://www.patreon.com/HomeTeamHistory Konfaga: Roots of a Very Old Tree: http://tinyurl.com/yurmbrhz.,"{'default': {'url': 'https://i.ytimg.com/vi/NgmlyAGRzlE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NgmlyAGRzlE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NgmlyAGRzlE/hqdefault.jpg', 'width': 480, 'height': 360}}",HomeTeam History,none,2024-02-26T20:09:37Z,NgmlyAGRzlE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NgmlyAGRzlE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 16:46:01,HomeTeam History,HomeTeam History,@hometeamhistory806,https://youtu.be/tdXACaDUpOE, HomeTeam History,Channel,History,History; Education,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
14,2024-02-25T22:03:44Z,UCMe6CgCi6TSZX1tUxuUvCGg,WE ARE AFRICANS SERIES WITH PROF JAMES SMALL,"COMING UP LIVE NOW ON PAN-AFRICAN DAILY TV with Dr Susan Tatah, Bamenda Girl (BG)","{'default': {'url': 'https://i.ytimg.com/vi/IJRObyUfG2o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IJRObyUfG2o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IJRObyUfG2o/hqdefault.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,none,2024-02-25T22:03:44Z,IJRObyUfG2o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IJRObyUfG2o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:52:49,Pan-African Daily TV,Pan-African Daily TV,,https://www.youtube.com/@PanAfricanDailyTV,"Welcome to PanafricanDTV, your AFROTV. We are here to help revamp the spirit of a United Africa, #MakeAfricaGreatagain. We believe in '#Ubuntu the African philosophy of oneness and the bond of upholding African Values, Cultures, Spirituality and more. Are you Pan-African? Organization, group, initiatives and private persons with the spirit of pan-Africanism..then join us on this platform. Irrespective of all the negativities about Africa, Africa still remain to be that virgin continent with more than enough to offer ourselves and the entire world. We need to grow beyond the negative attributes and build Africa for Africans. Subscribe to our channel and be a part of this great dream #theafricawewant # UnitedAfrica  #Africaunion #Africandescent..  ABOUT US: - The Pan African Daily TV seeks to Unite all Sons and Daughters of Africa, African citizenry in the Diaspora and people of African Descent worldwide with a common purpose.  Support with a regular amount each month, Thanks.",Channel,Current Events,Culture,,https://youtu.be/l9b0MmUB6u0,
5,2024-02-25T17:00:29Z,UCIwGnOXoSXEI7Tooz3iKq5w,First Ever Factory was in…,,"{'default': {'url': 'https://i.ytimg.com/vi/hzcqWoh8Vxo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hzcqWoh8Vxo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hzcqWoh8Vxo/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2024-02-25T17:00:29Z,hzcqWoh8Vxo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hzcqWoh8Vxo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:58:08,Without History,Without History,,https://www.youtube.com/@withoutHistory,Exploring the hidden gems of African History. Support us on patreon.com/WithoutHistory or buymeacoffee.com/WithoutHistory ,Channel,History,History,,https://youtu.be/pfsHtW5kYak,
4,2024-02-24T05:27:37Z,UCh2ANLALdN1OZUJKmvchkkg,What They Don&#39;t Tell You About The Image of God,"Thoughts? It's all about our self-perception. Rebranding Africa and Africans, both internally and externally, is imperative. It's not ...","{'default': {'url': 'https://i.ytimg.com/vi/crA1pbkdaV0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/crA1pbkdaV0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/crA1pbkdaV0/hqdefault.jpg', 'width': 480, 'height': 360}}",Mr. Imhotep,none,2024-02-24T05:27:37Z,crA1pbkdaV0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/crA1pbkdaV0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:14:00,Mr. Imhotep,Mr. Imhotep,,https://www.youtube.com/@mrimhotep,N°1 in African History,Channel,History,History; Kemet; Nile River Valley,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
38,2024-02-23T17:51:49Z,UCTTQWaoGloNuhunZevQ2F6g,You Won&#39;t Believe The Lies Africans Tell Themselves,You won't believe the lies we Africans tell ourselves and their devastating effects on Africa. Learn more about the source of these ...,"{'default': {'url': 'https://i.ytimg.com/vi/rFNXrdIDREE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rFNXrdIDREE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rFNXrdIDREE/hqdefault.jpg', 'width': 480, 'height': 360}}",Africa Business Channel TV,none,2024-02-23T17:51:49Z,rFNXrdIDREE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/rFNXrdIDREE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,,Africa Business Channel TV,,,,,Productivity,,,,
2,2024-02-23T10:59:49Z,UCjBw2SidW7wFElbmj9bgDjw,The unspoken TRUTH about Modern Historical Reconstruction,A Critical Analysis of Forensic Facial Reconstructions in Historical Sciences In this livestream we will review and discuss the ...,"{'default': {'url': 'https://i.ytimg.com/vi/vNsKI6uWksU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vNsKI6uWksU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vNsKI6uWksU/hqdefault.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,none,2024-02-23T10:59:49Z,vNsKI6uWksU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vNsKI6uWksU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:21:53,The Kings Monologue,The Kings Monologue,,https://www.youtube.com/@kingmono,The disorganised musings of an unconquerable mind,Channel,History,History,,https://youtu.be/8DTVh2i1BhA,
34,2024-02-21T19:45:03Z,UCTis64XH8HrxE7GhEkA6YmA,"Barça vs. Napoli preview, and how much is Xavi’s fault? #football #soccer #ucl #barca #napoli #xavi",,"{'default': {'url': 'https://i.ytimg.com/vi/tNOpj-HT2sQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tNOpj-HT2sQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tNOpj-HT2sQ/hqdefault.jpg', 'width': 480, 'height': 360}}",5ASide Media,none,2024-02-21T19:45:03Z,tNOpj-HT2sQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tNOpj-HT2sQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,,5ASide Podcast ,,,,,Sports,,,,
1,2024-02-21T03:32:46Z,UC__wkIWEfbnTAYVT8j6gfPg,Ancient Aethiopians,,"{'default': {'url': 'https://i.ytimg.com/vi/ZH8VWlJWdbQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZH8VWlJWdbQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZH8VWlJWdbQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Know Thyself,none,2024-02-21T03:32:46Z,ZH8VWlJWdbQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ZH8VWlJWdbQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:46:34,Know Thyself,Know Thyself,,https://youtu.be/fH8cSxfGiuA,"𓂀 Eye Am One with Spirit Peace, peace, family, and welcome to the channel. Magnum Opus® presents Know Thyself Institute YouTube channel.  Grab the kids and some popcorn and learn about Africa in antiquity and our place on the world stage.  Know Thyself the Docuseries: First Season of Know Thyself the Docuseries will uncover the hidden history of Nile Valley culture as well as its origins.  𓁠 - Know Thyself  On this channel we promote critical thinking and encourage growth and healing. Knowledge, wisdom, and understanding are the pillars on which we stand, and it is these core principles which influence and shape our content. Join us as we explore different subjects and engage in ways that are both thought provoking and inspiring.  Powered by Magnum Opus | Master Your Craft®  Know Thyself Institute: https://www.KnowThyselfInstitute.com https://www.facebook.com/knowthyselfinstitute Magnum Opus Film: https://www.MagnumOpusPublications.com",Channel,History,History,,https://youtu.be/fH8cSxfGiuA,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1
0,2024-02-19T00:25:24Z,UCHbmePHjGH3pklvSla6szWw,We React Live to Metatron&#39;s Response to My Video - @kingmono Joins the LIVE!,The King's Monologue and KueliMika join in a LIVE to React to Metatron's Response. We expose the lack of rigor. Here is the ...,"{'default': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vPb9afzHhCc/hqdefault.jpg', 'width': 480, 'height': 360}}",KueliMika,none,2024-02-19T00:25:24Z,vPb9afzHhCc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vPb9afzHhCc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 1:09:09,KueliMika,KueliMika,,https://www.youtube.com/@kuelimika/featured,"Hi! On this channel we analyze and review certain African historical and social knowledge taught to us by either our schools, our parents, our society, or the media. We do all that by remaining as objective as possible and as academically  sourced as possible. Therefore, we welcome you to join our channel, and participate in this journey to a better knowledge and  understanding of our past and our current society!",Channel,History,history; Kemet; Egypt,,https://youtu.be/71dcK6ozyBM,
35,2024-02-18T12:24:50Z,UCbvE_5m8kmm9U58gDHtzYrA,Sebastien Haller’s story is one of one!,,"{'default': {'url': 'https://i.ytimg.com/vi/7fWV5yJGqAU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7fWV5yJGqAU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7fWV5yJGqAU/hqdefault.jpg', 'width': 480, 'height': 360}}",AfroBallers,none,2024-02-18T12:24:50Z,7fWV5yJGqAU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/7fWV5yJGqAU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,,AfroBallers,,,,,Sports,,,,
24,2024-02-18T10:00:18Z,UCJmmxwdAsR7lD8fBA_qbEMw,The Origins of Congo&#39;s M23 Rebels | Congo Crisis,"Over the past quarter of a century, the resource-rich eastern provinces of the Democratic Republic of the Congo have served as ...","{'default': {'url': 'https://i.ytimg.com/vi/JpFtFaALEiI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JpFtFaALEiI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JpFtFaALEiI/hqdefault.jpg', 'width': 480, 'height': 360}}",African Biographics,none,2024-02-18T10:00:18Z,JpFtFaALEiI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JpFtFaALEiI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:41:26,African Biographics ,African Biographics ,,https://www.youtube.com/@AfricanBiographics,"This is a channel where we profile African personalities that made or make a lasting impact on the world scene.  With uploads twice a month, the aim of this channel will introduce you to fascinating people hailing from the continent, who left an indelible mark on the African continent for better or for worse.  We also make explainer videos on notable events that happened or are currently happening on this beautiful Continent.   Please don't be shy to subscribe :)",Channel,History,History,,https://youtu.be/8EC-WjzR7zE,
29,2024-02-05T03:17:06Z,UCF71yDQwxfw0QcYb2JnkB5Q,Why I Left the American Dream for Ghana 🇬🇭,Meet the Dynamic Duo: Nana Amobi & Kokwe Amegavie Friends for 20+ years and the masterminds behind Polish'd & Hair ...,"{'default': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/hqdefault.jpg', 'width': 480, 'height': 360}}",PassportHeavy,none,2024-02-05T03:17:06Z,I_9Ev2rbvtA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/I_9Ev2rbvtA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:23:05,PassportHeavy ,PassportHeavy ,,https://www.youtube.com/@PassportHeavy,A visual platform to connect and inspire a new generation of travelers on their journey to getting Passport Heavy. Global content for a local experience.,Channel,Travel,Travel,,https://youtu.be/MeSlKfCRdmw,
33,2023-12-02T18:02:33Z,UCMMTYgqKEgCgy1pR6Axlf0A,African American moved to Ghana to build a shipping container home on 38 acre farm with crazy views!,Container home and 38 acre farm tour. Timestamps available. In today's video we meet Calvin Daniels and check out his shipping ...,"{'default': {'url': 'https://i.ytimg.com/vi/cwoGv1fVwnI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cwoGv1fVwnI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cwoGv1fVwnI/hqdefault.jpg', 'width': 480, 'height': 360}}",Build with Amoaa,none,2023-12-02T18:02:33Z,cwoGv1fVwnI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cwoGv1fVwnI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",,Build with Amoaa,Build with Amoaa,,,,,Travel,,,,
15,2023-09-10T15:00:00Z,UCCfgU1Dgpz0MzA-4vP_gRuQ,Does This Country Have a Racist Name?,"How did Niger end up with a name that is confused with a racial slur? The Country of Niger is a country in West Africa, just south of ...","{'default': {'url': 'https://i.ytimg.com/vi/0AcrgzkrXvs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0AcrgzkrXvs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0AcrgzkrXvs/hqdefault.jpg', 'width': 480, 'height': 360}}",Risen Africa,none,2023-09-10T15:00:00Z,0AcrgzkrXvs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0AcrgzkrXvs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/9/2023 1:05:51,Risen Africa,Risen Africa,,https://www.youtube.com/@RisenAfrica,"Welcome to Risen Africa!  Our desire to inspire a passion for learning about Africa runs deep. Risen Africa seeks to educate and connect Africa to the rest of the world through taking a closer look at the continent, the countries, the people, economies, geopolitics, successes and challenges.  A truly pan-African channel that provides a better understanding of Africa.   Stay Tuned and Subscribe!",Channel,Current Events,History,,https://youtu.be/DpIiSgyldMk,
